date,draw_no,n1,n2,n3,n4,n5,bonus,numbers
2022-08-03,62,4,10,13,21,23,7,4 10 13 21 23
2022-08-07,63,1,2,3,12,22,9,1 2 3 12 22
2022-08-10,64,5,13,15,20,34,12,5 13 15 20 34
2022-08-14,65,9,16,24,26,28,4,9 16 24 26 28
2022-08-17,66,4,5,17,18,21,9,4 5 17 18 21
2022-08-21,67,1,4,5,9,23,4,1 4 5 9 23
2022-08-24,68,9,14,20,24,33,4,9 14 20 24 33
2022-08-28,69,2,6,18,22,23,10,2 6 18 22 23
2022-08-31,70,6,7,11,14,30,9,6 7 11 14 30
2022-09-04,71,3,17,18,25,34,9,3 17 18 25 34
2022-09-07,72,4,5,6,10,19,7,4 5 6 10 19
2022-09-11,73,12,17,25,26,34,11,12 17 25 26 34
2022-09-14,74,5,25,28,32,34,12,5 25 28 32 34
2022-09-18,75,6,9,10,20,33,2,6 9 10 20 33
2022-09-21,76,10,13,15,31,34,11,10 13 15 31 34
2022-09-25,77,3,8,28,30,34,4,3 8 28 30 34
2022-09-28,78,2,14,17,18,19,8,2 14 17 18 19
2022-10-02,79,4,15,19,22,30,10,4 15 19 22 30
2022-10-05,80,3,14,27,29,34,9,3 14 27 29 34
2022-10-09,81,1,3,12,19,31,6,1 3 12 19 31
2022-10-12,82,6,14,25,30,32,7,6 14 25 30 32
2022-10-16,83,6,11,21,31,33,2,6 11 21 31 33
2022-10-19,84,4,20,23,31,34,14,4 20 23 31 34
2022-10-23,85,5,14,28,29,31,8,5 14 28 29 31
2022-10-26,86,12,13,24,25,30,4,12 13 24 25 30
2022-10-30,87,12,15,16,24,28,8,12 15 16 24 28
2022-11-02,88,2,7,18,28,32,8,2 7 18 28 32
2022-11-06,89,1,5,7,11,17,8,1 5 7 11 17
2022-11-09,90,1,5,17,21,27,5,1 5 17 21 27
2022-11-13,91,3,6,16,26,33,4,3 6 16 26 33
2022-11-16,92,8,9,24,33,34,5,8 9 24 33 34
2022-11-20,93,13,17,18,32,33,3,13 17 18 32 33
